x,y,name,type
58.848055663,16.4410913566,SPARK-20946,Improvement
46.4850639582,34.572985801,CARBONDATA-1115,Bug
-47.0492961366,26.2861681819,ARROW-1080,Improvement
-70.7368207145,15.5622782651,LOG4J2-1929,Bug
47.199369025,77.0714893083,IGNITE-5382,Task
-20.1926227479,51.2009150657,KARAF-5171,Bug
7.80695867188,11.1849960735,RANGER-1628,Bug
43.508941294,-40.6820065099,IMPALA-5415,Bug
10.0768146398,28.7841187039,AIRAVATA-2423,Sub-task
-8.49738585633,63.0227587606,BEAM-2399,Bug
86.7016184333,2.81782161488,KAFKA-5362,Bug
64.1346597539,19.6015491782,IGNITE-5384,Task
31.0332022878,-22.6814706162,TC-362,New Feature
50.0058861601,-29.2975103112,TOBAGO-1742,Improvement
23.4952034622,15.6289002077,BROOKLYN-513,Bug
34.0386037845,73.9211688039,AMBARI-21169,Task
-3.53829013932,-28.1047349562,YARN-6680,Sub-task
29.1492848686,6.95453473541,NET-637,Bug
49.0351239448,-3.0468915816,AIRAVATA-2426,Bug
0.260064730012,-12.3700309006,MRM-1946,Bug
4.23930289288,46.6934256723,TOBAGO-1745,Improvement
-26.312491347,69.4825145079,AMBARI-21166,Task
23.4456988475,-36.0946660484,QPID-7806,Improvement
29.3300789147,-4.12723803053,AIRAVATA-2427,Sub-task
77.0012296115,1.66823846917,BOOKKEEPER-1091,Task
64.3622749873,-9.08171714856,NIFI-4005,Improvement
30.5721834758,83.6017727272,MNEMONIC-277,Task
-17.8639994409,33.5275109006,HDFS-11909,Sub-task
2.38690453795,18.3668793851,IMPALA-5414,Bug
-5.50380105681,60.6448412992,AMBARI-21167,Bug
16.1762882125,28.2716133092,FLINK-6795,Improvement
-28.3282538739,32.5503870899,JCR-4139,Task
-14.1359944752,102.175154804,ZOOKEEPER-2798,Bug
0.669185698517,4.76901078245,FLINK-6799,Bug
44.6251302323,71.752894395,HADOOP-14477,Improvement
34.1052087219,51.1176520515,HIVE-16802,Sub-task
14.8370656509,75.7964756675,AIRAVATA-2428,Bug
33.4290029466,58.5636764145,LENS-1429,Bug
-17.142492259,17.133510255,SENSSOFT-191,Task
32.3157105737,1.9146599555,SAMZA-1319,Bug
29.6618906879,40.3514190154,DERBY-6938,Sub-task
10.6109390356,33.8300058888,TIKA-2383,Improvement
54.6145066901,51.8390884046,FINERACT-474,Improvement
9.91110081712,42.819622242,FLINK-6790,Bug
30.1197460095,17.3733377643,CALCITE-1822,Bug
38.674940753,95.6667171426,AMBARI-21165,Bug
38.9793267156,-8.27044606753,FINERACT-476,Improvement
55.0226190767,31.1704676655,FLINK-6797,Bug
84.2484875793,92.9432300108,NIFI-4002,New Feature
6.99666807322,-20.8021629939,CAMEL-11378,Improvement
-14.4384435333,-41.3925460568,LENS-1427,Bug
43.6343394682,-26.1403626101,ARTEMIS-1200,Improvement
12.6228949942,65.2966777876,HBASE-18146,Test
-16.7644347734,26.1479779762,XERCESC-2095,Bug
38.732417498,-25.8757933795,NIFI-4003,Bug
122.77007924,21.3835522396,MDEP-569,Bug
33.5965656866,-4.0663522896,AIRAVATA-2424,Bug
